,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,GOOGL,Alphabet Inc.,"1,760.56B",-1.34%,48737558,307.39B
1,META,"Meta Platforms, Inc.","1,234.17B",-1.57%,28586520,134.90B
2,NFLX,"Netflix, Inc.",262.20B,-1.16%,6583161,33.72B
3,DIS,The Walt Disney Company,205.35B,-0.10%,9742053,88.94B
4,TMUS,"T-Mobile US, Inc.",192.05B,-0.64%,9770376,78.56B
5,CMCSA,Comcast Corporation,169.88B,-0.12%,44796653,121.57B
6,VZ,Verizon Communications Inc.,166.03B,-0.70%,19469037,133.97B
7,T,AT&T Inc.,121.96B,0.24%,34019370,122.43B
8,RELX,RELX PLC,81.46B,-0.46%,939937,11.60B
9,NTES,"NetEase, Inc.",70.04B,-0.56%,921604,14.59B
10,AMX,"América Móvil, SAB de CV",59.16B,-2.99%,1915328,36.81B
11,DASH,"DoorDash, Inc.",53.00B,-1.51%,3671496,8.64B
12,SPOT,Spotify Technology S.A.,50.55B,-0.87%,1103452,14.72B
13,CHTR,"Charter Communications, Inc.",41.97B,-2.14%,2478305,54.61B
14,BIDU,"Baidu, Inc.",36.42B,-0.75%,1954336,18.98B
15,EA,Electronic Arts Inc.,35.90B,-0.56%,3794497,7.66B
16,BCE,BCE Inc.,31.41B,1.06%,2387641,18.55B
17,ORAN,Orange S.A.,30.52B,0.88%,358245,46.25B
18,CHT,"Chunghwa Telecom Co., Ltd.",30.11B,0.03%,58029,7.26B
19,TLK,Telkom Indonesia (Persero) Tbk PT,25.04B,0.12%,100054,9.48B
20,RBLX,Roblox Corporation,24.79B,-3.47%,5694513,2.80B
21,TTWO,"Take-Two Interactive Software, Inc.",24.55B,0.10%,3695126,5.40B
22,TU,TELUS Corporation,24.44B,0.36%,3159021,15.12B
23,LYV,"Live Nation Entertainment, Inc.",23.95B,0.35%,2176220,22.75B
24,VOD,Vodafone Group PLC,23.88B,3.89%,29354042,47.57B
25,PINS,"Pinterest, Inc.",23.21B,0.35%,5484477,3.06B
26,RCI,Rogers Communications Inc.,22.67B,-,459910,14.52B
27,WBD,"Warner Bros. Discovery, Inc.",20.81B,0.12%,45869075,41.32B
28,SNAP,Snap Inc.,18.46B,-1.76%,24198249,4.61B
29,OMC,Omnicom Group Inc.,18.27B,-0.40%,1807966,14.69B
30,TME,Tencent Music Entertainment Group,17.81B,-1.15%,3161828,3.89B
31,VIV,Telefônica Brasil S.A.,17.67B,-1.80%,593257,10.70B
32,WMG,Warner Music Group Corp.,17.06B,-0.03%,1223334,6.30B
33,FWONK,Formula One Group - Series C,16.00B,-1.23%,860887,-
34,FWONA,Formula One Group - Series A,15.97B,-1.55%,266676,12.53B
35,SIRI,Sirius XM Holdings Inc.,15.68B,-0.74%,23458953,8.95B
36,NWSA,News Corporation,14.68B,-2.22%,5870302,9.97B
37,FOXA,Fox Corporation,13.41B,0.78%,5016669,14.56B
38,IPG,"The Interpublic Group of Companies, Inc.",12.37B,-0.83%,4843116,10.89B
39,Z,"Zillow Group, Inc.",11.03B,-13.49%,22725050,1.95B
40,TWLO,Twilio Inc.,10.86B,-2.02%,3805082,4.15B
41,WPP,WPP plc,9.90B,0.74%,104631,18.79B
42,LSXMK,Liberty SiriusXM Group - Series C,9.72B,-0.20%,2037159,-
43,LSXMA,Liberty SiriusXM Group - Series A,9.71B,-0.34%,958456,-
44,LSXMB,Liberty SiriusXM Group - Series B,9.60B,3.42%,1,-
45,ROKU,"Roku, Inc.",9.18B,-1.04%,3566785,3.48B
46,TIMB,TIM S.A.,9.13B,-1.64%,307303,4.07B
47,MTCH,"Match Group, Inc.",8.99B,0.69%,11425680,3.36B
48,PSO,Pearson plc,8.91B,-1.22%,707310,4.65B
49,SKM,"SK Telecom Co.,Ltd",8.57B,-2.04%,218885,9.72B
50,LBRDK,Liberty Broadband Corporation,8.28B,-0.52%,3285028,981.00M
51,PARA,Paramount Global,7.77B,-0.44%,24954439,29.65B
52,EDR,"Endeavor Group Holdings, Inc.",7.51B,-0.60%,2410678,5.96B
53,KT,KT Corporation,7.20B,-1.79%,252401,20.80B
54,NYT,The New York Times Company,7.17B,-,887185,2.43B
55,TKO,"TKO Group Holdings, Inc.",7.10B,0.11%,812539,1.67B
56,LBTYK,Liberty Global plc,6.48B,-0.06%,1894148,7.49B
57,FYBR,"Frontier Communications Parent, Inc.",5.85B,1.15%,3044805,5.74B
58,NXST,"Nexstar Media Group, Inc.",5.46B,-1.84%,1738053,4.93B
59,PHI,PLDT Inc.,5.38B,-2.39%,430752,3.68B
60,BILI,Bilibili Inc.,4.90B,1.03%,5103627,3.18B
61,IAC,IAC Inc.,4.40B,0.16%,596433,4.37B
62,MSGS,Madison Square Garden Sports Corp.,4.37B,0.12%,86050,879.61M
63,TKC,Turkcell Iletisim Hizmetleri A.S.,4.20B,0.41%,151012,3.29B
64,IQ,"iQIYI, Inc.",3.84B,-,4793672,4.50B
65,IRDM,Iridium Communications Inc.,3.31B,-1.17%,2833618,790.72M
66,LLYVA,Liberty Live Group - Series A,3.30B,1.90%,182812,-
67,TIGO,Millicom International Cellular S.A.,3.29B,2.56%,143529,5.66B
68,ATHM,Autohome Inc.,3.28B,-0.71%,255908,985.69M
69,TEO,Telecom Argentina S.A.,3.12B,8.09%,226520,4.13B
70,CCOI,"Cogent Communications Holdings, Inc.",3.08B,1.14%,1250213,940.92M
71,USM,United States Cellular Corporation,2.96B,-2.16%,150590,3.91B
72,ZD,"Ziff Davis, Inc.",2.88B,-2.32%,668957,1.36B
73,GSAT,"Globalstar, Inc.",2.77B,4.26%,6052006,223.81M
74,LLYVK,Liberty Live Group - Series C,2.75B,1.64%,399831,-
75,PLTK,Playtika Holding Corp.,2.65B,1.13%,4176161,2.57B
76,IDCC,"InterDigital, Inc.",2.61B,-1.12%,2069124,549.59M
