,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,AMZN,"Amazon.com, Inc.","1,811.77B",-2.42%,70180147,574.79B
1,TSLA,"Tesla, Inc.",520.94B,0.66%,96480026,96.77B
2,HD,"The Home Depot, Inc.",369.88B,-0.54%,2934473,152.67B
3,TM,Toyota Motor Corporation,316.98B,1.58%,178702,308.27B
4,MCD,McDonald's Corporation,201.55B,-0.92%,3414586,25.49B
5,BABA,Alibaba Group Holding Limited,188.65B,0.03%,9180193,130.82B
6,PDD,PDD Holdings Inc.,164.40B,0.44%,9471223,27.31B
7,NKE,"NIKE, Inc.",150.97B,-0.62%,8501261,51.54B
8,LOW,"Lowe's Companies, Inc.",140.48B,0.04%,5679324,86.38B
9,BKNG,Booking Holdings Inc.,116.66B,-2.78%,769645,21.37B
10,TJX,"The TJX Companies, Inc.",112.41B,-1.10%,4079858,54.22B
11,SBUX,Starbucks Corporation,103.78B,-1.68%,18025458,36.69B
12,ABNB,"Airbnb, Inc.",102.47B,-3.48%,7003277,9.92B
13,STLA,Stellantis N.V.,85.95B,3.64%,6384761,210.60B
14,RACE,Ferrari N.V.,76.81B,0.99%,194147,6.63B
15,MELI,"MercadoLibre, Inc.",76.02B,-3.96%,610553,14.47B
16,CMG,"Chipotle Mexican Grill, Inc.",75.58B,0.29%,175610,9.87B
17,MAR,"Marriott International, Inc.",70.65B,-1.58%,3686125,23.71B
18,ORLY,"O'Reilly Automotive, Inc.",65.72B,-0.33%,531504,15.81B
19,LULU,Lululemon Athletica Inc.,59.31B,-1.08%,1673008,9.19B
20,HMC,"Honda Motor Co., Ltd.",58.82B,2.33%,1106749,136.70B
21,AZO,"AutoZone, Inc.",54.09B,0.17%,156752,17.83B
22,CPRT,"Copart, Inc.",53.97B,-0.51%,10382323,4.06B
23,HLT,Hilton Worldwide Holdings Inc.,51.61B,-1.09%,1656328,10.24B
24,DHI,"D.R. Horton, Inc.",50.33B,0.91%,2529363,35.93B
25,ROST,"Ross Stores, Inc.",49.17B,-0.62%,4011630,20.38B
26,F,Ford Motor Company,47.92B,-0.17%,88149044,176.19B
27,GM,General Motors Company,46.97B,3.33%,21134951,171.84B
28,JD,"JD.com, Inc.",43.44B,1.48%,17519173,152.98B
29,LEN,Lennar Corporation,43.15B,2.43%,3278473,35.06B
30,YUM,"Yum! Brands, Inc.",38.50B,-0.23%,4151419,7.08B
31,LVS,Las Vegas Sands Corp.,38.46B,-2.54%,4239866,10.37B
32,FLUT,Flutter Entertainment plc,38.09B,-3.06%,121483,9.28B
33,LI,Li Auto Inc.,37.85B,2.66%,5131738,17.47B
34,QSR,Restaurant Brands International Inc.,35.31B,-3.10%,1272315,7.02B
35,RCL,Royal Caribbean Cruises Ltd.,33.09B,0.16%,2944262,13.90B
36,SE,Sea Limited,33.06B,-4.31%,5432362,13.06B
37,CPNG,"Coupang, Inc.",32.51B,-2.05%,12545905,24.38B
38,TCOM,Trip.com Group Limited,28.42B,-1.03%,2473318,6.28B
39,TSCO,Tractor Supply Company,27.75B,1.29%,1455695,14.56B
40,EBAY,eBay Inc.,27.04B,-0.10%,11454853,10.11B
41,ULTA,"Ulta Beauty, Inc.",26.03B,-5.21%,2878385,10.88B
42,NVR,"NVR, Inc.",24.17B,0.08%,35661,9.31B
43,PHM,"PulteGroup, Inc.",23.52B,1.08%,1675791,16.06B
44,DECK,Deckers Outdoor Corporation,23.35B,-2.49%,473747,4.12B
45,ROL,"Rollins, Inc.",22.43B,0.89%,2253866,3.07B
46,MBLY,Mobileye Global Inc.,22.29B,-2.53%,4889356,2.08B
47,GPC,Genuine Parts Company,21.42B,1.18%,870918,23.09B
48,CCL,Carnival Corporation & plc,21.24B,0.37%,17708475,21.59B
49,APTV,Aptiv PLC,21.06B,1.36%,1989490,20.05B
50,DRI,"Darden Restaurants, Inc.",20.53B,0.11%,1224127,11.01B
51,BALL,Ball Corporation,20.36B,-0.91%,3439069,14.03B
52,DKNG,DraftKings Inc.,19.29B,-0.78%,8624302,3.67B
53,WSM,"Williams-Sonoma, Inc.",18.20B,-0.66%,1266089,7.75B
54,EXPE,"Expedia Group, Inc.",18.19B,-1.67%,3508236,12.84B
55,DKS,"DICK'S Sporting Goods, Inc.",17.29B,-2.46%,2693948,12.98B
56,IHG,InterContinental Hotels Group PLC,17.20B,-0.90%,260691,4.62B
57,BBY,"Best Buy Co., Inc.",16.81B,0.72%,7845352,43.45B
58,YUMC,"Yum China Holdings, Inc.",16.49B,-0.64%,4271267,10.98B
59,PKG,Packaging Corporation of America,16.40B,-0.05%,531596,7.80B
60,H,Hyatt Hotels Corporation,15.81B,-1.62%,564172,6.67B
61,DPZ,"Domino's Pizza, Inc.",15.36B,-0.55%,334208,4.48B
62,MGA,Magna International Inc.,15.07B,0.90%,830283,42.80B
63,BURL,"Burlington Stores, Inc.",14.07B,-0.20%,471794,9.73B
64,CVNA,Carvana Co.,14.04B,3.78%,5880464,10.77B
65,LKQ,LKQ Corporation,13.73B,0.25%,2902238,13.87B
66,MGM,MGM Resorts International,13.71B,0.26%,3605099,16.16B
67,AMCR,Amcor plc,13.70B,0.53%,9205890,14.03B
68,FND,"Floor & Decor Holdings, Inc.",12.89B,-0.56%,1009198,4.41B
69,KMX,"CarMax, Inc.",12.75B,-0.25%,1127344,26.63B
70,IP,International Paper Company,12.59B,0.44%,4939155,18.92B
71,VFS,VinFast Auto Ltd.,12.57B,2.66%,1815377,1.16B
72,TOL,"Toll Brothers, Inc.",12.53B,1.79%,1441500,10.16B
73,WRK,WestRock Company,12.49B,1.40%,2268041,20.01B
74,HTHT,H World Group Limited,12.46B,1.06%,3218248,2.75B
75,NIO,NIO Inc.,12.19B,-,33467876,7.84B
76,RL,Ralph Lauren Corporation,11.61B,-0.36%,797874,6.60B
77,CASY,"Casey's General Stores, Inc.",11.31B,2.66%,624979,14.59B
78,FIVE,"Five Below, Inc.",11.13B,0.01%,895575,3.34B
79,WYNN,"Wynn Resorts, Limited",11.11B,-1.89%,4228216,6.53B
80,TPR,"Tapestry, Inc.",10.86B,-1.08%,10333237,6.73B
81,SCI,Service Corporation International,10.58B,-0.34%,826817,4.10B
