,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,WMT,Walmart Inc.,488.64B,-,3048688,648.13B
1,PG,The Procter & Gamble Company,379.73B,-0.07%,10841889,83.93B
2,COST,Costco Wholesale Corporation,321.82B,-0.86%,3376713,248.83B
3,KO,The Coca-Cola Company,258.23B,-1.02%,15960942,45.75B
4,FMX,"Fomento Económico Mexicano, SAB de CV",228.97B,2.16%,1795802,34.56B
5,PEP,"PepsiCo, Inc.",226.31B,-0.07%,21694698,91.47B
6,PM,Philip Morris International Inc.,146.35B,0.34%,6967058,35.17B
7,UL,Unilever PLC,125.17B,-0.69%,2225417,66.23B
8,BUD,Anheuser-Busch InBev SA/NV,120.99B,-0.34%,4635808,59.38B
9,MDLZ,"Mondelez International, Inc.",95.26B,-0.30%,16431688,36.02B
10,DEO,Diageo plc,83.11B,0.34%,579949,21.66B
11,MO,"Altria Group, Inc.",77.36B,-0.93%,15983758,24.48B
12,TGT,Target Corporation,75.86B,-0.05%,2667879,107.41B
13,CL,Colgate-Palmolive Company,72.81B,0.11%,6490653,19.46B
14,BTI,British American Tobacco p.l.c.,68.15B,-0.56%,7489555,34.54B
15,MNST,Monster Beverage Corporation,63.31B,0.25%,8055448,7.14B
16,EL,The Estée Lauder Companies Inc.,54.79B,-2.02%,2243932,15.16B
17,STZ,"Constellation Brands, Inc.",48.93B,2.61%,1715879,9.82B
18,KMB,Kimberly-Clark Corporation,42.05B,-0.27%,1994517,20.43B
19,KHC,The Kraft Heinz Company,41.63B,0.15%,12653833,26.64B
20,ABEV,Ambev S.A.,40.54B,-0.79%,13190829,16.37B
21,KR,The Kroger Co.,40.36B,0.99%,4304108,150.04B
22,SYY,Sysco Corporation,40.28B,1.11%,2278025,77.51B
23,HSY,The Hershey Company,39.47B,-0.78%,2958438,11.16B
24,KDP,Keurig Dr Pepper Inc.,39.06B,-0.41%,25572544,14.81B
25,KVUE,Kenvue Inc.,38.94B,1.35%,22060730,15.44B
26,GIS,"General Mills, Inc.",37.91B,1.85%,3372642,20.20B
27,DG,Dollar General Corporation,33.35B,1.26%,3355319,38.69B
28,CCEP,Coca-Cola Europacific Partners PLC,33.09B,-1.46%,2927104,20.34B
29,ADM,Archer-Daniels-Midland Company,30.24B,1.89%,6417723,93.94B
30,DLTR,"Dollar Tree, Inc.",27.76B,1.75%,5970273,30.60B
31,BF.A,Brown-Forman Corporation,25.69B,0.79%,52379,4.26B
32,CHD,"Church & Dwight Co., Inc.",25.44B,-0.04%,1013639,5.87B
33,CELH,"Celsius Holdings, Inc.",21.63B,-0.60%,4011171,1.32B
34,KOF,"Coca-Cola FEMSA, SAB de CV",21.11B,-1.31%,215015,597.02M
35,TSN,"Tyson Foods, Inc.",20.05B,0.18%,17976981,52.94B
36,CLX,The Clorox Company,18.82B,-0.99%,1114652,7.31B
37,HRL,Hormel Foods Corporation,18.70B,1.25%,2512016,12.14B
38,K,Kellanova Co,18.30B,1.17%,5439497,13.12B
39,MKC,"McCormick & Company, Incorporated",18.27B,0.28%,1453548,6.66B
40,MKC.V,"McCormick & Company, Incorporated",18.09B,-0.76%,223,6.66B
41,EDU,New Oriental Education & Technology Group Inc.,15.39B,-1.69%,413170,3.58B
42,LW,"Lamb Weston Holdings, Inc.",14.73B,0.72%,682407,6.35B
43,TAP,Molson Coors Beverage Company,14.33B,2.34%,2337797,11.70B
44,TAP.A,Molson Coors Beverage Company,14.01B,-,136,11.70B
45,BG,Bunge Limited,13.88B,1.43%,2081270,59.54B
46,CAG,"Conagra Brands, Inc.",13.42B,0.61%,3801278,12.17B
47,USFD,US Foods Holding Corp.,13.23B,0.22%,1123605,35.60B
48,SJM,The J. M. Smucker Company,12.96B,0.29%,1334269,8.21B
49,CPB,Campbell Soup Company,12.73B,1.79%,2592646,9.27B
50,ACI,"Albertsons Companies, Inc.",11.98B,0.87%,3130428,79.16B
51,PFGC,Performance Food Group Company,11.90B,0.41%,576577,57.87B
52,ELF,"e.l.f. Beauty, Inc.",11.07B,-0.46%,1648062,890.15M
53,COTY,Coty Inc.,11.05B,0.08%,2180334,6.01B
54,BJ,"BJ's Wholesale Club Holdings, Inc.",10.02B,2.02%,1047589,19.97B
55,PPC,Pilgrim's Pride Corporation,7.98B,-0.21%,1040330,17.36B
56,BRBR,"BellRing Brands, Inc.",7.86B,1.04%,1037399,1.73B
57,COKE,"Coca-Cola Consolidated, Inc.",7.78B,-1.56%,83428,6.65B
