,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,XOM,Exxon Mobil Corporation,441.50B,-0.18%,19524980,344.58B
1,CVX,Chevron Corporation,288.90B,-0.10%,8560931,200.95B
2,SHEL,Shell plc,211.27B,0.12%,3881618,323.18B
3,TTE,TotalEnergies SE,159.80B,0.04%,1343650,218.95B
4,COP,Conoco Phillips,141.22B,0.22%,6107927,58.57B
5,BP,BP p.l.c.,106.19B,-,6322232,213.03B
6,PBR,Petróleo Brasileiro S.A. - Petrobras,94.95B,-1.22%,18392553,124.47B
7,PBR.A,Petróleo Brasileiro S.A. - Petrobras,94.95B,-0.41%,4970761,124.47B
8,CNQ,Canadian Natural Resources Limited,79.20B,-1.40%,1512807,27.04B
9,EQNR,Equinor ASA,76.99B,-0.08%,4004934,150.81B
10,ENB,Enbridge Inc.,75.85B,-0.42%,3625310,32.82B
11,SLB,Schlumberger Limited,75.73B,-0.68%,16500030,33.14B
12,EOG,"EOG Resources, Inc.",71.80B,-0.81%,4107486,24.19B
13,MPC,Marathon Petroleum Corporation,69.85B,2.57%,3668143,150.31B
14,PSX,Phillips 66,68.04B,3.01%,4762533,149.89B
15,EPD,Enterprise Products Partners L.P.,62.10B,-,4063225,49.72B
16,PXD,Pioneer Natural Resources Company,58.40B,-0.20%,6114304,19.36B
17,OXY,Occidental Petroleum Corporation,55.10B,0.11%,6817294,28.92B
18,VLO,Valero Energy Corporation,54.43B,2.70%,7589417,144.77B
19,E,Eni S.p.A.,51.92B,-0.44%,254630,142.22B
20,ET,Energy Transfer LP,51.66B,1.99%,9763133,78.59B
21,SU,Suncor Energy Inc.,46.46B,0.03%,5758341,38.15B
22,HES,Hess Corporation,46.34B,0.42%,3062409,10.65B
23,WMB,"The Williams Companies, Inc.",45.02B,0.33%,6391405,10.91B
24,OKE,"ONEOK, Inc.",44.90B,-0.14%,2945363,17.68B
25,TRP,TC Energy Corporation,41.75B,-0.40%,3144953,11.98B
26,MPLX,MPLX LP,40.73B,0.05%,1793426,11.28B
27,KMI,"Kinder Morgan, Inc.",39.06B,0.23%,16884919,15.33B
28,LNG,"Cheniere Energy, Inc.",37.85B,2.09%,2332134,20.39B
29,WDS,Woodside Energy Group Ltd,36.67B,1.51%,749308,13.99B
30,IMO,Imperial Oil Limited,36.16B,-0.53%,346498,38.32B
31,CVE,Cenovus Energy Inc.,34.74B,-0.38%,11371975,39.25B
32,FANG,"Diamondback Energy, Inc.",33.89B,0.23%,3345280,8.41B
33,HAL,Halliburton Company,33.58B,0.32%,7389234,23.02B
34,BKR,Baker Hughes Company,32.57B,1.19%,15090715,25.51B
35,DVN,Devon Energy Corporation,30.24B,-0.50%,7074052,15.26B
36,TRGP,Targa Resources Corp.,23.65B,0.31%,1144209,16.06B
37,CQP,"Cheniere Energy Partners, L.P.",23.49B,1.44%,170850,11.70B
38,TS,Tenaris S.A.,22.54B,-0.21%,1337073,14.87B
39,EC,Ecopetrol S.A.,22.44B,2.41%,3763727,32.91B
