,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,LLY,Eli Lilly and Company,716.59B,-0.86%,2342824,34.12B
1,NVO,Novo Nordisk A/S,598.36B,-1.64%,3631961,34.41B
2,UNH,UnitedHealth Group Incorporated,452.50B,0.37%,3481999,371.62B
3,JNJ,Johnson & Johnson,381.18B,-0.65%,7323629,85.16B
4,ABBV,AbbVie Inc.,314.22B,-1.83%,6196064,54.32B
5,MRK,"Merck & Co., Inc.",307.77B,0.84%,12718652,60.12B
6,TMO,Thermo Fisher Scientific Inc.,222.74B,-0.13%,1910581,42.86B
7,AZN,AstraZeneca PLC,206.42B,-1.09%,6027068,45.81B
8,ABT,Abbott Laboratories,200.40B,-2.83%,12685176,40.11B
9,NVS,Novartis AG,199.74B,-0.88%,1381503,46.66B
10,DHR,Danaher Corporation,184.48B,-1.51%,5703208,23.89B
11,PFE,Pfizer Inc.,158.21B,-0.68%,31375069,58.50B
12,AMGN,Amgen Inc.,144.09B,-0.98%,8761928,28.19B
13,ISRG,"Intuitive Surgical, Inc.",140.46B,3.11%,3889390,7.12B
14,SYK,Stryker Corporation,133.94B,-0.96%,2054130,20.50B
15,SNY,Sanofi,120.87B,0.42%,1265364,51.60B
16,ELV,Elevance Health Inc.,119.38B,0.49%,827890,171.34B
17,MDT,Medtronic plc,110.97B,-0.97%,8518723,32.32B
18,REGN,"Regeneron Pharmaceuticals, Inc.",105.86B,0.57%,1071151,13.12B
19,BMY,Bristol-Myers Squibb Company,105.84B,-0.29%,19286574,45.01B
20,VRTX,Vertex Pharmaceuticals Incorporated,105.31B,-0.26%,1894452,9.87B
21,CI,Cigna Corporation,102.92B,0.73%,1280054,195.27B
22,CVS,CVS Health Corporation,97.40B,1.28%,8037424,357.78B
23,BSX,Boston Scientific Corporation,97.17B,-0.94%,5942570,14.24B
24,GILD,"Gilead Sciences, Inc.",91.80B,-0.70%,13896205,27.12B
25,GSK,GSK plc,87.68B,-2.07%,3751683,38.39B
26,HCA,"HCA Healthcare, Inc.",85.16B,-0.87%,786552,64.97B
27,ZTS,Zoetis Inc.,79.01B,-0.75%,2209889,8.54B
28,MCK,McKesson Corporation,70.12B,0.81%,591897,301.51B
29,BDX,"Becton, Dickinson and Company",68.39B,-0.19%,1756746,19.49B
30,EW,Edwards Lifesciences Corporation,56.14B,-1.12%,3900358,6.00B
31,DXCM,"DexCom, Inc.",50.29B,0.74%,3953488,3.62B
32,IQV,IQVIA Holdings Inc.,46.28B,-0.61%,666234,14.98B
33,TAK,Takeda Pharmaceutical Company Limited,45.51B,0.91%,2316545,29.40B
34,IDXX,"IDEXX Laboratories, Inc.",44.02B,-1.08%,750769,3.66B
35,A,"Agilent Technologies, Inc.",43.22B,1.56%,1865247,6.74B
36,ALC,Alcon Inc.,42.76B,-1.09%,919358,9.46B
37,HUM,Humana Inc.,41.97B,-0.21%,1166163,106.37B
38,GEHC,GE HealthCare Technologies Inc.,40.71B,1.22%,6520480,19.55B
39,CNC,Centene Corporation,40.68B,-0.76%,3085175,154.00B
40,MRNA,"Moderna, Inc.",39.68B,0.38%,5433508,6.85B
41,HLN,Haleon plc,39.10B,0.97%,4420076,14.31B
42,COR,Cencora,38.52B,0.23%,926670,271.58B
43,VEEV,Veeva Systems Inc.,36.55B,-2.36%,1016412,2.36B
44,BIIB,Biogen Inc.,31.96B,-0.14%,2402070,9.84B
45,MTD,Mettler-Toledo International Inc.,28.45B,2.03%,161502,3.79B
46,WST,"West Pharmaceutical Services, Inc.",28.38B,-2.95%,755406,2.95B
47,RMD,ResMed Inc.,27.95B,-0.89%,896475,4.50B
48,ICLR,ICON PLC,27.62B,0.32%,385774,8.12B
49,CAH,"Cardinal Health, Inc.",26.90B,0.62%,4407648,216.15B
50,ZBH,"Zimmer Biomet Holdings, Inc.",25.67B,-0.45%,1502271,7.39B
51,MOH,"Molina Healthcare, Inc.",23.62B,-0.55%,263136,34.07B
52,ALGN,"Align Technology, Inc.",23.61B,-0.81%,697946,3.86B
53,STE,STERIS plc,22.88B,-0.65%,317069,5.41B
54,ARGX,argenx SE,22.04B,-1.95%,268396,39.48M
55,BNTX,BioNTech SE,21.98B,-0.46%,634928,7.04B
56,BAX,Baxter International Inc.,21.13B,-0.98%,2630426,14.81B
57,WAT,Waters Corporation,20.89B,2.72%,795370,2.96B
58,ILMN,"Illumina, Inc.",20.37B,-0.29%,2241402,4.50B
59,COO,"The Cooper Companies, Inc.",20.02B,-0.78%,1135817,3.67B
60,GMAB,Genmab A/S,19.54B,-1.19%,996901,2.44B
61,PHG,Koninklijke Philips N.V.,19.24B,-1.82%,674731,20.19B
62,ALNY,"Alnylam Pharmaceuticals, Inc.",18.80B,0.50%,767746,1.83B
63,BGNE,"BeiGene, Ltd.",18.71B,0.65%,342860,2.46B
64,WBA,"Walgreens Boots Alliance, Inc.",17.99B,0.97%,15843391,142.41B
65,RPRX,Royalty Pharma plc,17.98B,0.80%,3106928,2.35B
66,HOLX,"Hologic, Inc.",17.82B,0.76%,4047398,3.97B
67,LH,Laboratory Corporation of America Holdings,17.59B,0.10%,982653,12.16B
68,BMRN,BioMarin Pharmaceutical Inc.,15.82B,-0.62%,1071352,2.42B
69,TEVA,Teva Pharmaceutical Industries Limited,15.17B,-0.52%,6235116,15.85B
70,DGX,Quest Diagnostics Incorporated,14.20B,0.91%,948490,9.25B
71,VTRS,Viatris Inc.,14.11B,1.02%,14375680,15.43B
72,NBIX,"Neurocrine Biosciences, Inc.",13.84B,-0.04%,1489824,1.89B
73,CRL,"Charles River Laboratories International, Inc.",13.30B,-0.59%,426761,4.13B
74,INCY,Incyte Corporation,13.11B,-0.29%,3589431,3.70B
75,RVTY,"Revvity, Inc.",12.96B,0.02%,1080822,2.75B
76,BRKR,Bruker Corporation,12.68B,0.29%,1141027,2.96B
77,RDY,Dr. Reddy's Laboratories Limited,12.62B,-0.28%,138458,2.99B
78,KRTX,"Karuna Therapeutics, Inc.",12.60B,0.03%,1808160,654.00K
79,MEDP,"Medpace Holdings, Inc.",12.27B,-1.94%,389367,1.89B
80,SNN,Smith & Nephew plc,12.13B,-1.71%,641488,5.55B
81,DVA,DaVita Inc.,11.93B,0.48%,896575,12.14B
82,PODD,Insulet Corporation,11.73B,-1.10%,733387,1.70B
83,LEGN,Legend Biotech Corporation,11.67B,-3.16%,2508291,285.14M
84,UHS,"Universal Health Services, Inc.",11.62B,0.56%,753224,14.28B
85,FMS,Fresenius Medical Care AG & Co. KGaA,11.60B,-3.01%,655898,21.62B
86,SRPT,"Sarepta Therapeutics, Inc.",11.55B,-0.57%,1167326,1.24B
87,TECH,Bio-Techne Corporation,11.40B,1.83%,1621090,1.14B
88,UTHR,United Therapeutics Corporation,11.10B,-0.98%,823336,2.33B
89,NTRA,"Natera, Inc.",10.80B,2.06%,1915248,1.08B
90,EXAS,Exact Sciences Corporation,10.63B,-1.40%,1714799,2.50B
91,RGEN,Repligen Corporation,10.59B,-1.89%,490351,638.76M
92,SWAV,"ShockWave Medical, Inc.",10.25B,2.91%,704652,730.23M
93,CTLT,"Catalent, Inc.",10.18B,-0.85%,2272198,4.10B
94,TFX,Teleflex Incorporated,10.14B,-1.29%,266533,2.97B
95,THC,Tenet Healthcare Corporation,10.00B,-1.24%,1587698,20.56B
96,CHE,Chemed Corporation,9.83B,-0.47%,102036,2.26B
97,QGEN,Qiagen N.V.,9.75B,0.05%,751116,1.97B
98,HSIC,"Henry Schein, Inc.",9.58B,0.26%,1460913,12.34B
99,BIO.B,"Bio-Rad Laboratories, Inc.",9.50B,1.70%,3,-
100,BIO,"Bio-Rad Laboratories, Inc.",9.48B,0.33%,148643,2.67B
101,ATR,"AptarGroup, Inc.",9.31B,0.05%,264320,3.49B
102,PEN,"Penumbra, Inc.",8.60B,-3.22%,404407,1.06B
103,ASND,Ascendis Pharma A/S,8.42B,-0.79%,379918,296.35M
104,ROIV,Roivant Sciences Ltd.,8.24B,-0.88%,6831444,123.24M
105,STVN,Stevanato Group S.p.A.,7.93B,1.46%,213572,1.21B
106,ELAN,Elanco Animal Health Incorporated,7.75B,-0.19%,2059164,4.42B
107,CERE,"Cerevel Therapeutics Holdings, Inc.",7.67B,0.21%,2315539,-
108,PCVX,"Vaxcyte, Inc.",7.56B,0.61%,1340740,-
109,JAZZ,Jazz Pharmaceuticals plc,7.54B,2.20%,1405102,3.83B
110,EHC,Encompass Health Corporation,7.49B,-0.48%,1234874,4.80B
111,ACHC,"Acadia Healthcare Company, Inc.",7.28B,-1.37%,1340317,2.93B
112,MASI,Masimo Corporation,7.02B,0.36%,890448,2.05B
113,HQY,"HealthEquity, Inc.",6.99B,-0.71%,845833,971.04M
114,EXEL,"Exelixis, Inc.",6.97B,1.64%,4563606,1.83B
115,GMED,"Globus Medical, Inc.",6.96B,-0.91%,1580968,1.57B
116,ENSG,"The Ensign Group, Inc.",6.95B,0.58%,589244,3.73B
117,APLS,"Apellis Pharmaceuticals, Inc.",6.84B,0.46%,1009842,396.59M
118,XRAY,DENTSPLY SIRONA Inc.,6.81B,-0.42%,4125982,3.97B
119,VKTX,"Viking Therapeutics, Inc.",6.75B,-3.83%,9320541,-
120,CYTK,"Cytokinetics, Incorporated",6.71B,2.26%,20953124,7.53M
121,ITCI,"Intra-Cellular Therapies, Inc.",6.27B,0.33%,1007907,464.37M
122,IONS,"Ionis Pharmaceuticals, Inc.",6.19B,0.88%,1080263,787.65M
123,CRSP,CRISPR Therapeutics AG,5.83B,1.31%,1936287,371.21M
124,RCM,R1 RCM Inc.,5.71B,-1.10%,3657069,2.25B
125,INSP,"Inspire Medical Systems, Inc.",5.70B,0.39%,237302,624.80M
126,BLCO,Bausch + Lomb Corporation,5.60B,0.50%,225934,4.15B
127,BPMC,Blueprint Medicines Corporation,5.54B,3.18%,1120059,249.38M
128,NUVL,"Nuvalent, Inc.",5.43B,-4.49%,1200162,-
129,OPCH,"Option Care Health, Inc.",5.42B,-1.82%,2800869,4.30B
130,MDGL,"Madrigal Pharmaceuticals, Inc.",5.40B,11.00%,2752926,-
131,RVMD,"Revolution Medicines, Inc.",5.24B,-0.47%,4084184,11.58M
132,DOCS,"Doximity, Inc.",5.20B,0.11%,981283,468.33M
133,HALO,"Halozyme Therapeutics, Inc.",5.18B,0.17%,1634097,829.25M
134,BBIO,"BridgeBio Pharma, Inc.",5.08B,0.77%,2006067,9.30M
135,GRFS,"Grifols, S.A.",4.98B,6.42%,3763794,6.45B
136,KRYS,"Krystal Biotech, Inc.",4.89B,0.66%,992469,50.70M
137,ALKS,Alkermes plc,4.80B,-0.45%,7259583,1.66B
138,OGN,Organon & Co.,4.67B,-0.44%,2257481,6.26B
139,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,4.60B,1.15%,1033970,-
140,IMVT,"Immunovant, Inc.",4.44B,-0.55%,1626062,-
141,TXG,"10x Genomics, Inc.",4.33B,-2.39%,993633,618.73M
142,GKOS,Glaukos Corporation,4.22B,-0.34%,399788,314.71M
143,MMSI,"Merit Medical Systems, Inc.",4.16B,-0.10%,669179,1.26B
144,PRGO,Perrigo Company plc,4.12B,-1.62%,4193525,4.66B
145,SHC,Sotera Health Company,4.08B,2.40%,2673508,1.05B
146,ALVO,Alvotech,4.08B,-0.13%,203830,63.75M
147,LNTH,"Lantheus Holdings, Inc.",4.02B,-2.77%,1330532,1.30B
148,RARE,Ultragenyx Pharmaceutical Inc.,3.90B,1.54%,1720919,434.25M
149,IOVA,"Iovance Biotherapeutics, Inc.",3.89B,-2.11%,17211547,1.19M
150,INSM,Insmed Incorporated,3.82B,-2.24%,2403472,305.21M
151,ITGR,Integer Holdings Corporation,3.80B,-0.90%,166671,1.60B
152,HAE,Haemonetics Corporation,3.80B,-1.03%,455542,1.27B
153,CBAY,"CymaBay Therapeutics, Inc.",3.72B,-0.06%,2766894,31.07M
154,EVH,"Evolent Health, Inc.",3.72B,-2.51%,846029,1.96B
155,SWTX,"SpringWorks Therapeutics, Inc.",3.71B,1.62%,1365866,5.45M
156,PBH,Prestige Consumer Healthcare Inc.,3.71B,0.88%,533121,1.13B
157,ACLX,"Arcellx, Inc.",3.67B,1.51%,724748,110.32M
158,NVST,Envista Holdings Corporation,3.66B,-1.34%,2967380,2.57B
159,SEM,Select Medical Holdings Corporation,3.65B,0.92%,472996,6.66B
160,SGRY,"Surgery Partners, Inc.",3.62B,-0.97%,917777,2.74B
161,AXSM,"Axsome Therapeutics, Inc.",3.51B,8.32%,1586456,270.60M
162,ARWR,"Arrowhead Pharmaceuticals, Inc.",3.50B,3.14%,3406393,181.74M
163,AXNX,"Axonics, Inc.",3.46B,-0.06%,429014,366.38M
164,IBRX,"ImmunityBio, Inc.",3.44B,4.48%,8577549,556.00K
165,FOLD,"Amicus Therapeutics, Inc.",3.41B,-0.52%,5270728,399.36M
166,PGNY,"Progyny, Inc.",3.39B,-0.65%,977770,1.09B
167,BHC,Bausch Health Companies Inc.,3.36B,1.21%,971048,8.76B
168,HCM,HUTCHMED (China) Limited,3.32B,4.95%,144525,838.00M
169,XENE,Xenon Pharmaceuticals Inc.,3.32B,0.66%,249741,-
170,SMMT,Summit Therapeutics Inc.,3.32B,-2.74%,9375311,-
171,AZTA,"Azenta, Inc.",3.30B,0.42%,1695565,641.02M
172,IDYA,"IDEAYA Biosciences, Inc.",3.30B,-1.12%,1476821,23.39M
173,NEOG,Neogen Corporation,3.29B,-0.46%,2787679,918.68M
174,RDNT,"RadNet, Inc.",3.28B,1.32%,1125608,1.62B
175,QDEL,QuidelOrtho Corporation,3.24B,1.96%,1314241,3.00B
176,OSCR,"Oscar Health, Inc.",3.18B,-0.57%,1820822,5.86B
177,IRTC,"iRhythm Technologies, Inc.",3.18B,-2.73%,645884,492.68M
178,ARVN,"Arvinas, Inc.",3.05B,0.29%,1898893,78.50M
179,ACAD,ACADIA Pharmaceuticals Inc.,3.04B,-1.33%,3560924,726.44M
180,AMED,"Amedisys, Inc.",3.04B,0.46%,394478,2.24B
181,CRNX,"Crinetics Pharmaceuticals, Inc.",3.03B,1.88%,1698051,4.01M
182,IMCR,Immunocore Holdings plc,3.03B,1.15%,267394,249.43M
183,OLK,Olink Holding AB (publ),2.98B,-0.08%,381329,158.93M
184,CERT,"Certara, Inc.",2.95B,-1.02%,960160,354.34M
185,INDV,Indivior PLC,2.85B,-,128234,1.09B
186,BEAM,Beam Therapeutics Inc.,2.83B,2.31%,2725500,377.71M
187,DNLI,Denali Therapeutics Inc.,2.80B,1.92%,2108786,330.53M
188,CLDX,"Celldex Therapeutics, Inc.",2.79B,-1.20%,1849073,6.88M
189,MLTX,MoonLake Immunotherapeutics,2.75B,7.93%,766057,-
190,GDRX,"GoodRx Holdings, Inc.",2.73B,2.07%,1526528,750.27M
191,MOR,MorphoSys AG,2.72B,-0.56%,392459,264.75M
192,IART,Integra LifeSciences Holdings Corporation,2.71B,-0.43%,913002,1.54B
193,LIVN,LivaNova PLC,2.71B,-1.02%,671567,1.15B
194,NTLA,"Intellia Therapeutics, Inc.",2.70B,2.83%,1928881,36.28M
195,RXRX,"Recursion Pharmaceuticals, Inc.",2.63B,4.08%,10838056,44.58M
196,CGON,"CG Oncology, Inc.",2.56B,3.55%,3704419,191.00K
197,MRUS,Merus N.V.,2.56B,-1.57%,562418,43.95M
198,PINC,"Premier, Inc.",2.53B,0.05%,8279049,1.32B
199,EVO,Evotec SE,2.51B,-2.55%,38478,-
200,TDOC,"Teladoc Health, Inc.",2.51B,1.89%,2642782,2.60B
201,FTRE,Fortrea Holdings Inc.,2.49B,0.38%,1078220,3.11B
202,TMDX,"TransMedics Group, Inc.",2.48B,-3.65%,898770,241.62M
203,KYMR,"Kymera Therapeutics, Inc.",2.48B,2.71%,1803813,78.59M
204,RCKT,"Rocket Pharmaceuticals, Inc.",2.47B,-1.72%,1879892,-
205,PDCO,"Patterson Companies, Inc.",2.44B,1.45%,2524561,6.57B
206,PRCT,PROCEPT BioRobotics Corporation,2.43B,-0.21%,469785,136.19M
207,KROS,"Keros Therapeutics, Inc.",2.42B,3.89%,1397248,151.00K
208,CNMD,CONMED Corporation,2.42B,-1.61%,521743,1.24B
209,LFST,"LifeStance Health Group, Inc.",2.42B,-0.31%,1213062,1.06B
210,PRVA,"Privia Health Group, Inc.",2.41B,-0.39%,1389559,1.66B
211,RYTM,"Rhythm Pharmaceuticals, Inc.",2.41B,-0.05%,1529709,77.43M
212,CORT,Corcept Therapeutics Incorporated,2.40B,-1.86%,1592645,482.38M
213,ALPN,"Alpine Immune Sciences, Inc.",2.38B,1.37%,3340524,30.80M
214,ICUI,"ICU Medical, Inc.",2.37B,-0.60%,275369,2.26B
215,NARI,"Inari Medical, Inc.",2.36B,-0.20%,1108374,493.63M
216,NMRA,"Neumora Therapeutics, Inc.",2.35B,-0.26%,607583,-
217,TGTX,"TG Therapeutics, Inc.",2.35B,-0.91%,3760448,233.66M
218,VERA,"Vera Therapeutics, Inc.",2.32B,-0.57%,1396496,-
219,DYN,"Dyne Therapeutics, Inc.",2.29B,4.91%,4070056,-
220,DNA,"Ginkgo Bioworks Holdings, Inc.",2.28B,1.89%,24886910,251.46M
221,GLPG,Galapagos NV,2.28B,-0.53%,118172,-
222,PTCT,"PTC Therapeutics, Inc.",2.26B,2.28%,2000708,937.82M
223,AMN,"AMN Healthcare Services, Inc.",2.21B,2.42%,2951767,3.79B
224,AGL,"agilon health, inc.",2.18B,1.72%,2531669,4.32B
225,GH,"Guardant Health, Inc.",2.16B,-3.43%,2305548,563.95M
226,VCEL,Vericel Corporation,2.14B,0.11%,1073936,197.52M
227,AMPH,"Amphastar Pharmaceuticals, Inc.",2.07B,-0.32%,584514,644.40M
228,JANX,"Janux Therapeutics, Inc.",2.04B,4.45%,795498,8.08M
229,ZLAB,Zai Lab Limited,2.00B,-5.52%,536027,266.72M
230,SNDX,"Syndax Pharmaceuticals, Inc.",2.00B,3.84%,3130860,-
231,AGE,"AgeX Therapeutics, Inc.",1.96B,24.44%,24198,94.00K
232,SANA,"Sana Biotechnology, Inc.",1.96B,-1.88%,2381015,-
233,OMI,"Owens & Minor, Inc.",1.95B,1.92%,714839,10.33B
