,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,GE,General Electric Company,184.64B,1.28%,7017613,67.95B
1,CAT,Caterpillar Inc.,173.27B,1.48%,2746195,67.06B
2,UNP,Union Pacific Corporation,150.04B,-0.78%,3221252,24.12B
3,UPS,"United Parcel Service, Inc.",130.77B,-0.34%,3333654,90.96B
4,HON,Honeywell International Inc.,128.93B,0.68%,6307926,36.66B
5,RTX,RTX Corp,123.56B,1.28%,9398484,68.92B
6,ETN,Eaton Corporation plc,119.01B,-0.80%,1594879,23.20B
7,BA,The Boeing Company,111.37B,0.76%,7959749,77.79B
8,DE,Deere & Company,106.72B,0.83%,1430468,60.79B
9,LMT,Lockheed Martin Corporation,105.31B,0.01%,1238598,67.57B
10,ADP,"Automatic Data Processing, Inc.",99.45B,-0.48%,11912015,18.59B
11,WM,"Waste Management, Inc.",84.55B,0.10%,1106122,20.43B
12,CP,Canadian Pacific Railway Limited,83.65B,-0.08%,1825368,9.44B
13,CNI,Canadian National Railway Company,82.60B,0.34%,716029,12.65B
14,ITW,Illinois Tool Works Inc.,79.76B,0.75%,2362476,16.11B
15,GD,General Dynamics Corporation,75.45B,-0.07%,777830,42.27B
16,CSX,CSX Corporation,72.43B,-0.16%,17745116,14.66B
17,TRI,Thomson Reuters Corporation,71.06B,0.09%,361167,6.79B
18,NOC,Northrop Grumman Corporation,69.28B,0.19%,613630,39.29B
19,PH,Parker-Hannifin Corporation,68.75B,-0.15%,431133,19.83B
20,TT,Trane Technologies plc,66.17B,-0.18%,863392,17.68B
21,TDG,TransDigm Group Incorporated,65.18B,-1.16%,178702,6.98B
22,CTAS,Cintas Corporation,63.91B,-0.37%,682544,9.19B
23,FDX,FedEx Corporation,63.30B,-0.88%,1510869,87.95B
24,EMR,Emerson Electric Co.,63.22B,0.16%,2434865,15.91B
25,PCAR,PACCAR Inc,61.99B,2.71%,6691888,35.13B
26,RSG,"Republic Services, Inc.",58.62B,-0.01%,1518042,14.96B
27,ROP,"Roper Technologies, Inc.",58.58B,0.05%,728470,6.18B
28,MMM,3M Company,58.03B,1.82%,26766890,32.68B
29,NSC,Norfolk Southern Corporation,57.79B,-1.03%,814533,12.16B
30,CARR,Carrier Global Corporation,51.35B,-0.45%,3210432,22.10B
31,GWW,"W.W. Grainger, Inc.",48.90B,0.27%,146999,16.48B
32,ODFL,"Old Dominion Freight Line, Inc.",46.45B,-1.28%,1630906,5.87B
33,URI,"United Rentals, Inc.",45.39B,0.46%,870539,14.33B
34,WCN,"Waste Connections, Inc.",44.05B,1.00%,774741,8.02B
35,PAYX,"Paychex, Inc.",43.28B,-1.06%,5832014,5.15B
36,FAST,Fastenal Company,43.10B,-0.32%,10767393,7.35B
37,JCI,Johnson Controls International plc,43.06B,0.16%,5925599,26.82B
38,FERG,Ferguson plc,42.07B,0.81%,922321,29.36B
