,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,LIN,Linde plc,225.49B,-1.20%,23085399,32.85B
1,BHP,BHP Group Limited,141.31B,-0.66%,3159334,55.34B
2,RIO,Rio Tinto Group,100.96B,0.21%,2724215,54.04B
3,SHW,The Sherwin-Williams Company,85.04B,-0.08%,1414997,23.05B
4,SCCO,Southern Copper Corporation,79.63B,5.99%,2863503,9.90B
5,ECL,Ecolab Inc.,64.73B,0.83%,1337496,15.32B
6,FCX,Freeport-McMoRan Inc.,63.99B,2.98%,22727947,22.86B
7,CRH,CRH plc,59.01B,-1.37%,2595377,34.95B
8,APD,"Air Products and Chemicals, Inc.",54.49B,-0.21%,1183824,12.42B
9,VALE,Vale S.A.,51.82B,-1.24%,29329413,43.84B
10,NUE,Nucor Corporation,45.38B,3.51%,1763729,34.71B
11,DOW,Dow Inc.,40.38B,-0.49%,6605979,44.62B
12,NEM,Newmont Corporation,39.06B,-0.96%,15518425,11.81B
13,CTVA,"Corteva, Inc.",38.66B,-0.20%,2519785,17.23B
14,MLM,"Martin Marietta Materials, Inc.",37.50B,-1.69%,353462,6.78B
15,VMC,Vulcan Materials Company,35.80B,-1.43%,1158921,7.78B
16,PPG,"PPG Industries, Inc.",32.71B,-0.79%,2010484,18.25B
17,LYB,LyondellBasell Industries N.V.,32.42B,-0.09%,2411442,41.11B
18,DD,"DuPont de Nemours, Inc.",30.66B,-0.51%,5280464,12.07B
19,AEM,Agnico Eagle Mines Limited,27.83B,0.58%,3704781,6.63B
20,GOLD,Barrick Gold Corporation,27.70B,-,13400144,11.40B
21,NTR,Nutrien Ltd.,26.60B,1.26%,2957318,29.06B
22,PKX,POSCO Holdings Inc.,25.03B,-1.39%,67512,59.55B
23,TECK,Teck Resources Limited,23.25B,0.20%,4564533,11.29B
24,FNV,Franco-Nevada Corporation,22.00B,0.03%,374723,1.22B
25,STLD,"Steel Dynamics, Inc.",21.81B,4.34%,2632848,18.80B
26,MT,ArcelorMittal S.A.,21.77B,0.04%,1678533,68.28B
27,IFF,International Flavors & Fragrances Inc.,21.15B,1.53%,1602503,11.48B
28,WPM,Wheaton Precious Metals Corp.,20.13B,-1.33%,2893913,1.02B
29,WLK,Westlake Corporation,18.82B,3.00%,1084437,12.55B
30,RS,Reliance Steel & Aluminum Co.,18.41B,0.44%,231933,14.81B
31,CE,Celanese Corporation,17.43B,1.45%,719081,10.94B
32,JHX,James Hardie Industries plc,17.13B,-3.52%,31445,3.85B
33,AVTR,"Avantor, Inc.",17.01B,-0.79%,2929364,6.97B
34,CF,"CF Industries Holdings, Inc.",15.74B,-0.54%,3024295,6.63B
35,SUZ,Suzano S.A.,15.66B,2.35%,2869999,8.16B
36,RPM,RPM International Inc.,14.92B,-0.09%,965840,7.34B
37,ALB,Albemarle Corporation,14.35B,1.88%,3192051,9.62B
38,SQM,Sociedad Química y Minera de Chile S.A.,14.21B,2.63%,883769,10.71B
39,GFI,Gold Fields Limited,13.19B,-0.74%,6697143,4.29B
40,CX,"CEMEX, SAB de CV",12.25B,-1.06%,8618549,15.58B
41,EMN,Eastman Chemical Company,10.83B,1.20%,1042651,9.21B
42,MOS,The Mosaic Company,10.33B,1.49%,4163797,13.70B
43,CLF,Cleveland-Cliffs Inc.,9.85B,0.51%,7229659,22.00B
44,AU,AngloGold Ashanti Limited,9.26B,-0.77%,1416546,4.50B
45,X,United States Steel Corporation,8.73B,1.54%,8378515,18.05B
46,EXP,Eagle Materials Inc.,8.60B,-0.32%,261555,2.25B
47,FMC,FMC Corporation,8.12B,1.53%,1728357,4.49B
48,TX,Ternium S.A.,7.80B,0.05%,141058,17.63B
49,AXTA,Axalta Coating Systems Ltd.,7.35B,0.60%,1761612,5.18B
50,RGLD,"Royal Gold, Inc.",7.34B,-0.11%,1134072,605.72M
51,GGB,Gerdau S.A.,7.29B,-1.89%,10472651,15.58B
52,UFPI,"UFP Industries, Inc.",7.11B,1.43%,861658,7.22B
53,SUM,"Summit Materials, Inc.",7.11B,-1.97%,1159216,2.62B
54,OLN,Olin Corporation,7.00B,1.08%,1013077,6.83B
55,KGC,Kinross Gold Corporation,6.98B,0.71%,11176096,4.24B
56,WFG,West Fraser Timber Co. Ltd.,6.66B,0.47%,126018,6.45B
57,ICL,ICL Group Ltd,6.31B,-1.84%,1101336,7.54B
58,CMC,Commercial Metals Company,6.28B,1.39%,898949,8.58B
59,NEU,NewMarket Corporation,5.97B,0.46%,33249,2.70B
60,ESI,Element Solutions Inc,5.83B,-0.04%,605552,2.33B
61,AA,Alcoa Corporation,5.47B,1.40%,6277662,10.55B
62,AGI,Alamos Gold Inc.,5.40B,-,2099528,1.02B
63,PAAS,Pan American Silver Corp.,5.30B,2.40%,5119849,2.32B
64,BCC,Boise Cascade Company,5.20B,2.88%,345342,6.84B
65,BCPC,Balchem Corporation,5.05B,1.56%,328597,922.44M
66,SIM,"Grupo Simec, SAB de CV",4.96B,0.38%,332,2.78B
67,CBT,Cabot Corporation,4.88B,1.56%,335544,3.92B
68,ALTM,Arcadium Lithium plc,4.88B,-,14133658,882.50M
69,HMY,Harmony Gold Mining Company Limited,4.85B,-0.39%,7696604,168.13M
70,ASH,Ashland Inc.,4.85B,0.69%,260303,2.14B
71,SSL,Sasol Limited,4.79B,0.82%,499948,15.57B
72,BVN,Compania de Minas Buenaventura S.A.,4.47B,1.21%,1802971,824.80M
73,HUN,Huntsman Corporation,4.36B,0.40%,1066233,6.11B
74,FUL,H.B. Fuller Company,4.34B,1.59%,272555,3.51B
75,KNF,Knife River Corporation,4.30B,-1.06%,531864,2.83B
76,SID,Companhia Siderúrgica Nacional,4.18B,-2.26%,3429591,8.39B
