,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,PLD,"Prologis, Inc.",119.33B,-0.59%,6686966,8.02B
1,AMT,American Tower Corporation,92.89B,-0.93%,2314852,11.14B
2,EQIX,"Equinix, Inc.",80.47B,-1.66%,1083391,8.19B
3,SPG,"Simon Property Group, Inc.",56.51B,0.94%,1829527,5.66B
4,WELL,Welltower Inc.,51.97B,-0.38%,3224498,6.64B
5,PSA,Public Storage,48.81B,-1.28%,907389,4.52B
6,CCI,Crown Castle Inc.,46.11B,-0.40%,1899455,6.98B
7,O,Realty Income Corporation,44.94B,1.03%,8062556,4.08B
8,DLR,"Digital Realty Trust, Inc.",44.90B,-1.37%,1740586,5.48B
9,CSGP,"CoStar Group, Inc.",38.87B,8.32%,9194531,2.46B
10,EXR,Extra Space Storage Inc.,30.48B,-2.09%,1436406,2.56B
11,VICI,VICI Properties Inc.,30.18B,0.38%,10432056,3.61B
12,CBRE,"CBRE Group, Inc.",28.49B,-0.08%,1384383,31.95B
13,AVB,"AvalonBay Communities, Inc.",26.11B,0.79%,738167,2.77B
14,WY,Weyerhaeuser Company,25.04B,0.20%,6284237,7.67B
15,EQR,Equity Residential,23.92B,1.06%,1589424,2.87B
16,SBAC,SBA Communications Corporation,23.30B,-0.30%,1100643,2.71B
17,IRM,Iron Mountain Incorporated,22.98B,0.72%,2723050,5.48B
18,ARE,"Alexandria Real Estate Equities, Inc.",21.65B,0.21%,1187844,2.89B
19,INVH,Invitation Homes Inc.,21.43B,0.26%,2796060,2.43B
20,KSPI,Joint Stock Company Kaspi.kz,21.36B,-1.93%,219622,4.25B
21,BEKE,KE Holdings Inc.,17.56B,0.07%,6252722,10.97B
22,VTR,"Ventas, Inc.",17.14B,-0.26%,3808705,4.50B
23,SUI,"Sun Communities, Inc.",17.00B,-0.08%,506500,3.22B
24,ESS,"Essex Property Trust, Inc.",15.89B,0.82%,309922,1.67B
25,MAA,"Mid-America Apartment Communities, Inc.",15.55B,0.05%,614183,2.15B
26,AMH,American Homes 4 Rent,15.15B,-0.11%,2376611,1.62B
27,HST,"Host Hotels & Resorts, Inc.",14.64B,-0.77%,10568104,5.31B
28,UDR,"UDR, Inc.",13.22B,1.36%,2221233,1.63B
29,ELS,"Equity LifeStyle Properties, Inc.",12.78B,-0.38%,928941,1.49B
30,KIM,Kimco Realty Corporation,12.70B,0.43%,4542167,1.78B
31,GLPI,"Gaming and Leisure Properties, Inc.",12.26B,-0.27%,3104544,1.44B
32,DOC,"Healthpeak Properties, Inc.",12.21B,1.95%,9496907,2.18B
33,WPC,W. P. Carey Inc.,12.21B,0.85%,1520672,1.74B
34,LAMR,Lamar Advertising Company,11.90B,-0.31%,653514,2.11B
35,REXR,"Rexford Industrial Realty, Inc.",11.34B,-0.45%,1142984,797.83M
36,REG,Regency Centers Corporation,10.97B,-0.30%,1938249,1.32B
37,CPT,Camden Property Trust,10.54B,0.58%,775442,1.56B
38,BXP,"Boston Properties, Inc.",9.83B,-,1360642,3.27B
39,NLY,"Annaly Capital Management, Inc.",9.74B,0.36%,6795727,-1.44B
40,CUBE,CubeSmart,9.68B,-1.99%,2990114,1.05B
41,JLL,Jones Lang LaSalle Incorporated,8.71B,-0.57%,299952,20.76B
42,EGP,"EastGroup Properties, Inc.",8.45B,-1.75%,405201,570.59M
43,FRT,Federal Realty Investment Trust,8.29B,-0.22%,390556,1.13B
44,OHI,"Omega Healthcare Investors, Inc.",7.76B,-0.39%,975914,949.74M
45,FSV,FirstService Corporation,7.66B,-1.72%,65725,4.33B
46,NNN,NNN REIT Inc,7.57B,0.95%,1066695,828.11M
47,COLD,"Americold Realty Trust, Inc.",7.19B,-0.55%,1300277,2.67B
48,FR,"First Industrial Realty Trust, Inc.",7.08B,-0.72%,601276,614.03M
49,STAG,"STAG Industrial, Inc.",6.94B,-0.29%,901394,707.84M
50,RHP,"Ryman Hospitality Properties, Inc.",6.88B,-0.83%,410610,2.16B
51,AGNC,AGNC Investment Corp.,6.70B,0.10%,14606763,251.00M
52,BRX,Brixmor Property Group Inc.,6.67B,0.36%,1982070,1.25B
53,STWD,"Starwood Property Trust, Inc.",6.50B,1.31%,1789682,2.05B
54,CIGI,Colliers International Group Inc.,5.99B,-0.79%,72371,4.34B
55,ADC,Agree Realty Corporation,5.71B,2.53%,1538984,537.50M
56,TRNO,Terreno Realty Corporation,5.49B,-1.12%,513889,323.59M
57,VNO,Vornado Realty Trust,5.28B,2.62%,1449152,1.81B
58,RITM,Rithm Capital Corp.,5.25B,0.55%,2613046,3.69B
59,RYN,Rayonier Inc.,5.03B,-0.84%,413834,1.06B
60,HR,Healthcare Realty Trust Incorporated,5.02B,1.70%,4981068,1.34B
61,NSA,National Storage Affiliates Trust,4.88B,-1.42%,1139392,858.06M
62,PECO,"Phillips Edison & Company, Inc.",4.80B,-0.20%,2306347,610.12M
63,KRG,Kite Realty Group Trust,4.63B,-0.05%,1276340,823.00M
64,AIRC,Apartment Income REIT Corp.,4.59B,1.28%,930807,820.04M
65,EPRT,"Essential Properties Realty Trust, Inc.",4.31B,0.44%,1695408,359.60M
66,KRC,Kilroy Realty Corporation,4.11B,0.84%,1035944,1.13B
67,APLE,"Apple Hospitality REIT, Inc.",3.91B,-0.74%,1765751,1.34B
68,RLJ,RLJ Lodging Trust,3.68B,-0.93%,1393116,1.33B
69,HHH,Howard Hughes Holdings Inc,3.66B,-1.31%,188516,1.02B
70,MAC,The Macerich Company,3.63B,1.13%,1395264,884.07M
71,IRT,"Independence Realty Trust, Inc.",3.59B,0.65%,1234380,660.98M
72,PK,Park Hotels & Resorts Inc.,3.57B,0.47%,1519339,2.70B
73,PCH,PotlatchDeltic Corporation,3.56B,0.11%,967139,1.02B
74,CUZ,Cousins Properties Incorporated,3.53B,0.91%,1269178,802.87M
75,BXMT,"Blackstone Mortgage Trust, Inc.",3.45B,2.44%,1185813,670.67M
76,SLG,SL Green Realty Corp.,3.29B,2.35%,1839295,913.71M
77,SBRA,"Sabra Health Care REIT, Inc.",3.27B,0.07%,3214705,647.51M
78,CTRE,"CareTrust REIT, Inc.",3.17B,-0.42%,1538183,217.77M
79,EPR,EPR Properties,3.13B,-0.58%,1447312,705.67M
80,SKT,"Tanger Factory Outlet Centers, Inc.",3.08B,-0.35%,693943,464.41M
81,JOE,The St. Joe Company,3.08B,0.90%,140598,389.29M
82,TCN,Tricon Residential Inc.,3.05B,-,1426355,849.78M
83,DBRG,"DigitalBridge Group, Inc.",3.03B,-0.27%,1679856,821.38M
84,SITC,SITE Centers Corp.,2.95B,0.64%,2438406,546.28M
85,BNL,"Broadstone Net Lease, Inc.",2.84B,1.09%,2224458,442.89M
86,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",2.78B,0.41%,681758,319.87M
87,CDP,COPT Defense Properties,2.77B,0.29%,695066,684.98M
88,ESRT,"Empire State Realty Trust, Inc.",2.76B,1.66%,1540579,739.57M
89,IIPR,"Innovative Industrial Properties, Inc.",2.73B,-0.19%,381714,309.51M
90,LXP,LXP Industrial Trust,2.65B,0.56%,3954396,340.50M
91,DEI,"Douglas Emmett, Inc.",2.64B,1.78%,2548914,1.02B
92,HIW,"Highwoods Properties, Inc.",2.64B,0.16%,411339,834.00M
93,MPW,"Medical Properties Trust, Inc.",2.64B,4.76%,15147391,871.80M
94,OUT,Outfront Media Inc.,2.63B,-1.24%,1222413,1.82B
95,NHI,"National Health Investors, Inc.",2.61B,1.09%,159986,319.84M
96,VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",2.60B,0.68%,258760,214.50M
97,NMRK,"Newmark Group, Inc.",2.56B,-1.58%,1781412,2.47B
98,ESBA,"Empire State Realty OP, L.P.",2.53B,-0.10%,619,739.57M
99,ABR,"Arbor Realty Trust, Inc.",2.44B,2.21%,3174347,721.01M
100,FCPT,"Four Corners Property Trust, Inc.",2.26B,3.32%,978083,250.61M
101,SHO,"Sunstone Hotel Investors, Inc.",2.24B,-0.63%,1325087,986.48M
102,CWK,Cushman & Wakefield plc,2.21B,0.21%,2035171,9.49B
103,UE,Urban Edge Properties,2.07B,0.06%,630835,416.92M
104,EQC,Equity Commonwealth,2.02B,-0.11%,778632,60.52M
105,DRH,DiamondRock Hospitality Company,1.98B,-,1252766,1.07B
106,PEB,Pebblebrook Hotel Trust,1.86B,-1.08%,1338124,1.42B
107,AKR,Acadia Realty Trust,1.81B,-0.74%,933447,338.69M
108,FOR,Forestar Group Inc.,1.81B,-0.41%,158347,1.53B
109,OPEN,Opendoor Technologies Inc.,1.80B,1.52%,29719611,6.95B
110,GNL,"Global Net Lease, Inc.",1.74B,2.72%,3651440,515.07M
111,IVT,InvenTrust Properties Corp.,1.68B,0.16%,279574,258.68M
112,CXW,"CoreCivic, Inc.",1.67B,1.85%,730291,1.90B
113,AAT,"American Assets Trust, Inc.",1.63B,0.76%,258842,441.16M
114,ROIC,Retail Opportunity Investments Corp.,1.60B,0.80%,2050635,327.73M
115,ARI,"Apollo Commercial Real Estate Finance, Inc.",1.58B,1.55%,770703,344.59M
116,XHR,"Xenia Hotels & Resorts, Inc.",1.56B,-0.54%,1057880,1.03B
117,EXPI,"eXp World Holdings, Inc.",1.55B,-9.92%,5050732,4.28B
118,RC,Ready Capital Corporation,1.54B,2.19%,1576630,630.58M
119,NXRT,"NexPoint Residential Trust, Inc.",1.54B,0.23%,321161,277.53M
120,JBGS,JBG SMITH Properties,1.53B,0.30%,2621096,604.20M
121,UNIT,Uniti Group Inc.,1.49B,-0.32%,2587070,1.15B
122,VRE,"Veris Residential, Inc.",1.49B,1.16%,433908,279.86M
123,GTY,Getty Realty Corp.,1.47B,2.38%,332348,186.42M
124,SAFE,Safehold Inc.,1.40B,-0.91%,721060,352.58M
125,LADR,Ladder Capital Corp,1.39B,1.85%,994980,264.21M
126,LTC,"LTC Properties, Inc.",1.39B,0.47%,239638,197.24M
127,TWO,Two Harbors Investment Corp.,1.32B,0.95%,1081083,31.79M
