,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,NEE,"NextEra Energy, Inc.",123.31B,0.91%,19015197,28.11B
1,SO,The Southern Company,75.38B,-0.42%,4994876,25.25B
2,DUK,Duke Energy Corporation,73.00B,-0.36%,3612982,29.06B
3,CEG,Constellation Energy Corporation,52.14B,0.53%,4679101,24.92B
4,NGG,National Grid plc,50.28B,0.65%,281911,26.10B
5,SRE,Sempra,44.26B,-0.30%,4923889,16.72B
6,AEP,"American Electric Power Company, Inc.",43.24B,0.31%,5331900,18.98B
7,PCG,PG&E Corporation,42.43B,0.49%,21718127,24.43B
8,D,"Dominion Energy, Inc.",40.06B,0.48%,5710992,14.39B
9,EXC,Exelon Corporation,36.46B,-0.25%,14709662,21.73B
10,PEG,Public Service Enterprise Group Incorporated,31.80B,-0.33%,3320895,11.24B
11,ED,"Consolidated Edison, Inc.",30.73B,0.30%,3453686,14.66B
12,XEL,Xcel Energy Inc.,28.86B,0.21%,9233947,14.21B
13,EIX,Edison International,26.46B,0.51%,1892071,16.34B
14,WEC,"WEC Energy Group, Inc.",25.49B,0.50%,1776259,8.89B
15,AWK,"American Water Works Company, Inc.",22.81B,-1.13%,2013464,4.23B
16,DTE,DTE Energy Company,22.45B,0.10%,1447547,12.75B
17,FE,FirstEnergy Corp.,21.80B,-0.18%,3056095,12.87B
18,ETR,Entergy Corporation,21.70B,-0.52%,1572456,12.15B
19,VST,Vistra Corp.,21.42B,-2.46%,7865558,14.78B
20,ES,Eversource Energy,20.60B,-0.24%,2175025,11.91B
21,EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,20.18B,-2.61%,1356585,6.75B
22,PPL,PPL Corporation,19.65B,0.23%,4643421,8.31B
23,FTS,Fortis Inc.,19.49B,0.84%,689156,8.66B
24,AEE,Ameren Corporation,19.06B,0.28%,2091006,7.50B
25,ELPC,Cia Paranaense De Energia Copel,18.66B,-6.06%,121724,4.15B
26,CNP,"CenterPoint Energy, Inc.",17.62B,-0.07%,9391985,8.70B
27,ATO,Atmos Energy Corporation,17.28B,-0.30%,1633018,3.95B
28,CMS,CMS Energy Corporation,17.02B,-0.81%,2671659,7.46B
29,BEP,Brookfield Renewable Partners L.P.,15.04B,-0.13%,579293,5.04B
30,AGR,"Avangrid, Inc.",13.75B,0.25%,537348,8.31B
31,BIP,Brookfield Infrastructure Partners L.P.,13.61B,1.97%,324113,17.93B
32,NRG,"NRG Energy, Inc.",13.30B,0.85%,8807844,28.82B
33,LNT,Alliant Energy Corporation,12.39B,0.67%,3854973,4.03B
34,KEP,Korea Electric Power Corporation,12.06B,-2.21%,177883,55.94B
35,NI,NiSource Inc.,11.86B,0.53%,4159392,5.51B
36,EVRG,"Evergy, Inc.",11.85B,1.30%,3355818,5.51B
37,AES,The AES Corporation,10.67B,-0.13%,9486147,12.67B
38,SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,10.51B,-0.26%,1031493,4.17B
39,WTRG,"Essential Utilities, Inc.",9.84B,0.03%,2008402,2.05B
40,PNW,Pinnacle West Capital Corporation,8.05B,0.24%,1005175,4.70B
41,OGE,OGE Energy Corp.,6.72B,0.27%,1142682,2.67B
42,NFE,New Fortress Energy Inc.,6.43B,0.71%,1498352,2.41B
43,ELP,Cia Paranaense De Energia Copel,5.81B,-1.26%,408128,4.15B
44,CIG,Cia Energetica DE Minas Gerais - Cemig,5.33B,1.81%,3014535,6.51B
45,SWX,"Southwest Gas Holdings, Inc.",5.09B,-0.04%,1050593,5.43B
46,UGI,UGI Corporation,5.04B,-0.74%,4083380,8.29B
47,IDA,"IDACORP, Inc.",4.60B,0.98%,389415,1.77B
48,BIPC,Brookfield Infrastructure Corporation,4.47B,2.42%,715011,2.08B
49,ENIC,Enel Chile S.A.,4.32B,4.70%,1357569,5.83B
50,BEPC,Brookfield Renewable Corporation,4.29B,-,862900,4.55B
51,AQN,Algonquin Power & Utilities Corp.,4.16B,-0.66%,12075396,2.70B
52,POR,Portland General Electric Company,4.16B,0.81%,839824,2.92B
53,CWEN,"Clearway Energy, Inc.",4.16B,0.77%,732292,1.31B
54,NJR,New Jersey Resources Corporation,4.10B,-0.07%,474513,1.71B
55,ORA,"Ormat Technologies, Inc.",3.86B,-0.17%,346843,829.42M
56,BKH,Black Hills Corporation,3.55B,-0.46%,1528044,2.33B
57,OGS,"ONE Gas, Inc.",3.47B,0.05%,253872,2.37B
58,OTTR,Otter Tail Corporation,3.38B,-0.70%,493171,1.35B
59,ALE,"ALLETE, Inc.",3.36B,1.58%,323721,1.88B
60,PNM,"PNM Resources, Inc.",3.31B,0.19%,655755,1.94B
61,SR,Spire Inc.,3.28B,-0.37%,308336,2.61B
62,NWE,NorthWestern Corporation,2.98B,0.77%,901037,1.42B
63,MGEE,"MGE Energy, Inc.",2.72B,-,7421028,690.43M
64,CWT,California Water Service Group,2.67B,-0.64%,349976,794.63M
65,AWR,American States Water Company,2.65B,-0.03%,281521,595.70M
66,AVA,Avista Corporation,2.65B,0.59%,424067,1.75B
67,PAM,Pampa Energía S.A.,2.65B,1.23%,355939,1.83B
68,NEP,"NextEra Energy Partners, LP",2.61B,-2.45%,1760125,1.08B
69,FLNC,"Fluence Energy, Inc.",2.41B,4.68%,3469559,2.27B
70,RNW,ReNew Energy Global Plc,2.34B,-3.44%,1847606,1.18B
71,CPK,Chesapeake Utilities Corporation,2.29B,1.05%,140055,670.60M
72,AY,Atlantica Sustainable Infrastructure plc,2.05B,-0.40%,1387628,1.10B
73,ENLT,Enlight Renewable Energy Ltd,2.01B,-0.94%,51862,255.70M
74,TAC,TransAlta Corporation,1.94B,-3.22%,1199070,2.52B
75,SJW,SJW Group,1.83B,0.33%,176070,670.36M
76,EE,"Excelerate Energy, Inc.",1.70B,1.34%,170176,1.16B
77,CEPU,Central Puerto S.A.,1.51B,1.41%,237553,574.79M
78,NWN,Northwest Natural Holding Company,1.37B,0.53%,368077,1.20B
79,KEN,Kenon Holdings Ltd.,1.26B,-3.39%,14168,685.96M
80,SPH,"Suburban Propane Partners, L.P.",1.25B,-1.42%,419146,1.40B
81,HE,"Hawaiian Electric Industries, Inc.",1.23B,1.18%,1990033,3.68B
82,AMPS,"Altus Power, Inc.",944.40M,-23.06%,6928547,155.16M
83,MSEX,Middlesex Water Company,936.89M,1.41%,652657,166.27M
84,OPAL,OPAL Fuels Inc.,834.73M,1.24%,133906,256.11M
85,EDN,Empresa Distribuidora y Comercializadora Norte SA,829.39M,2.09%,166438,1.17B
86,UTL,Unitil Corporation,823.04M,0.37%,94826,557.10M
87,ARIS,"Aris Water Solutions, Inc.",762.90M,3.03%,480332,392.12M
88,MNTK,"Montauk Renewables, Inc.",616.46M,-15.72%,1438085,174.90M
89,SMR,NuScale Power Corporation,603.63M,8.43%,8589131,22.81M
90,YORW,The York Water Company,511.16M,0.03%,215962,71.03M
91,GNE,Genie Energy Ltd.,447.89M,1.74%,207679,428.71M
92,CWCO,Consolidated Water Co. Ltd.,439.83M,-0.04%,114569,155.39M
93,ARTNA,Artesian Resources Corporation,374.35M,2.29%,249654,99.43M
94,GWRS,"Global Water Resources, Inc.",303.64M,3.09%,58282,53.03M
95,NRGV,"Energy Vault Holdings, Inc.",247.09M,-2.38%,724482,341.54M
96,PCYO,Pure Cycle Corporation,225.16M,0.11%,124609,18.63M
97,ELLO,Ellomay Capital Ltd.,218.37M,-0.06%,1980,52.91M
98,RGCO,"RGC Resources, Inc.",216.89M,4.92%,56686,88.58M
99,CDZI,Cadiz Inc.,174.76M,-6.49%,1295549,1.88M
100,VIA,"Via Renewables, Inc.",78.98M,-0.18%,43853,435.19M
101,ALCE,Alternus Energy Group Plc,38.35M,25.05%,1128560,44.51M
102,VGAS,"Verde Clean Fuels, Inc.",33.05M,-11.34%,68423,-
103,HTOO,Fusion Fuel Green PLC,25.47M,-1.99%,133659,-
104,ADN,"Advent Technologies Holdings, Inc.",13.43M,2.03%,609522,5.31M
105,CREG,Smart Powerr Corp.,10.03M,-,14251,-
106,WAVE,Eco Wave Power Global AB (publ),6.94M,2.46%,2199,27.00K
107,BNRG,Brenmiller Energy Ltd,6.28M,-1.16%,646,580.00K
